formula,Km,Kcat,Syngony,length,width,depth,pol,surf,Subtype,ph,temp,Cper,Csub,Ccat
CoFe2O4,0.00645,12 306.45,7,4.1,4.1,4.1,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.05537,2 363.29,7,13.8,13.8,13.8,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.03551,74 779.37,7,4.1,4.1,4.1,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.22769,3 918.25,7,13.8,13.8,13.8,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.01725,9 184.91,7,24.5,24.5,24.5,1,1,H2O2,4,37,100,15,0.02624
CoFe2O4,0.02427,6 038.32,7,32.1,32.1,32.1,1,1,H2O2,4,37,100,15,0.02624
CoFe2O4,0.03476,5 783.49,7,45.2,45.2,45.2,1,1,H2O2,4,37,100,15,0.02624
CoFe2O4,0.03934,11 456.99,7,24.5,24.5,24.5,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.06607,8 229.04,7,32.1,32.1,32.1,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.11073,9 319.03,7,45.2,45.2,45.2,1,1,TMB,4,37,100,15,0.02624
CoFe2O4,0.0752,7.4920497,7,14,14,14,0,1,H2O2,6,25,100,15,0.008
MnFe2O4,0.0146,3 219.73,7,4,4,4,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.964,162.83184,7,16,16,16,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.258,714.984,7,18,18,18,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.33,336.7344,7,27,27,27,1,0,TMB,3.5,37,10,1.5,0.5
MnFe2O4,0.112,3 298.15,7,4,4,4,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.543,237.5592,7,16,16,16,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.242,2 278.72,7,18,18,18,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.304,811.8528,7,27,27,27,1,0,H2O2,3.5,37,10,1.5,0.5
MnFe2O4,0.605,0.0031021,7,6,6,6,0,1,TMB,3.5,25,0,0.8,40
MnFe2O4,0.528,0.0012397,7,6,6,6,0,1,H2O2,3.5,25,0,0.8,40
MgFe2O4,0.67,0.0001045,7,220,220,220,1,0,TMB,4,45,13,0.4,40
